"Result:CUPS PDP(2026-06-02 153203)_20260602_153123.csv"
"Save Time:2026-06-02 15:31:23"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LMB_vCGW01"

"Function Subset Name:PGW-C 2/3G Basic session performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","CGW function","PGW-C 2/3G Current activated PDP contexts (number)","PGW-C 2/3G Average PDP contexts activated (number)","PGW-C 2/3G Maximum simultaneously activated PDP contexts (number)","PGW-C 2/3G Activated duration of all PDP contexts (s)"
"2026-05-22 00:00:00","60","LMB_vCGW01","nodeName=cgw","27217","27709","28548","99753300"
"2026-05-22 00:00:00","60","LLG_vCGW01","nodeName=cgw","24499","25254","26381","90914200"
"2026-05-22 01:00:00","60","LMB_vCGW01","nodeName=cgw","26331","26693","27243","96094570"
"2026-05-22 01:00:00","60","LLG_vCGW01","nodeName=cgw","23802","24089","24699","86721120"
"2026-05-22 02:00:00","60","LMB_vCGW01","nodeName=cgw","24801","25502","26341","91810670"
"2026-05-22 02:00:00","60","LLG_vCGW01","nodeName=cgw","23250","23449","23876","84418420"
"2026-05-22 03:00:00","60","LMB_vCGW01","nodeName=cgw","24465","24610","25004","88599770"
"2026-05-22 03:00:00","60","LLG_vCGW01","nodeName=cgw","23260","23195","23496","83504960"
"2026-05-22 04:00:00","60","LMB_vCGW01","nodeName=cgw","26456","25112","26471","90404370"
"2026-05-22 04:00:00","60","LLG_vCGW01","nodeName=cgw","25376","24073","25396","86664500"
"2026-05-22 05:00:00","60","LMB_vCGW01","nodeName=cgw","35279","29927","35299","107739040"
"2026-05-22 05:00:00","60","LLG_vCGW01","nodeName=cgw","33248","28692","33268","103292280"
"2026-05-22 06:00:00","60","LMB_vCGW01","nodeName=cgw","42993","39850","43278","143460060"
"2026-05-22 06:00:00","60","LLG_vCGW01","nodeName=cgw","39790","37108","39817","133591700"
"2026-05-22 07:00:00","60","LMB_vCGW01","nodeName=cgw","45726","44725","45836","161013010"
"2026-05-22 07:00:00","60","LLG_vCGW01","nodeName=cgw","42077","41043","42153","147757020"
"2026-05-22 08:00:00","60","LMB_vCGW01","nodeName=cgw","46796","46430","47484","167147590"
"2026-05-22 08:00:00","60","LLG_vCGW01","nodeName=cgw","43413","42898","43533","154435890"
"2026-05-22 09:00:00","60","LMB_vCGW01","nodeName=cgw","46128","46718","47113","168185810"
"2026-05-22 09:00:00","60","LLG_vCGW01","nodeName=cgw","43992","43903","44231","158051560"
"2026-05-22 10:00:00","60","LMB_vCGW01","nodeName=cgw","46258","46323","47397","166765930"
"2026-05-22 10:00:00","60","LLG_vCGW01","nodeName=cgw","44252","44203","44553","159131050"
"2026-05-22 11:00:00","60","LMB_vCGW01","nodeName=cgw","46295","46367","46941","166922850"
"2026-05-22 11:00:00","60","LLG_vCGW01","nodeName=cgw","44323","44303","44547","159493650"
"2026-05-22 12:00:00","60","LMB_vCGW01","nodeName=cgw","45117","45784","46566","164822720"
"2026-05-22 12:00:00","60","LLG_vCGW01","nodeName=cgw","44715","44722","44982","161001470"
"2026-05-22 13:00:00","60","LMB_vCGW01","nodeName=cgw","45422","45297","45705","163071490"
"2026-05-22 13:00:00","60","LLG_vCGW01","nodeName=cgw","44782","44895","45070","161623510"
"2026-05-22 14:00:00","60","LMB_vCGW01","nodeName=cgw","45065","45352","45787","163269110"
"2026-05-22 14:00:00","60","LLG_vCGW01","nodeName=cgw","43818","44345","45058","159645160"
"2026-05-22 15:00:00","60","LMB_vCGW01","nodeName=cgw","44798","45045","45551","162163830"
"2026-05-22 15:00:00","60","LLG_vCGW01","nodeName=cgw","43637","43623","44135","157043310"
"2026-05-22 16:00:00","60","LMB_vCGW01","nodeName=cgw","47419","46020","47434","165671640"
"2026-05-22 16:00:00","60","LLG_vCGW01","nodeName=cgw","44927","43987","44937","158353970"
"2026-05-22 17:00:00","60","LMB_vCGW01","nodeName=cgw","55008","50260","55028","180935920"
"2026-05-22 17:00:00","60","LLG_vCGW01","nodeName=cgw","50409","47013","50429","169249480"
"2026-05-22 18:00:00","60","LMB_vCGW01","nodeName=cgw","62470","59488","62643","214157300"
"2026-05-22 18:00:00","60","LLG_vCGW01","nodeName=cgw","58072","54543","58081","196358270"
"2026-05-22 19:00:00","60","LMB_vCGW01","nodeName=cgw","63816","63843","64641","229834480"
"2026-05-22 19:00:00","60","LLG_vCGW01","nodeName=cgw","60606","59442","60626","213992500"
"2026-05-22 20:00:00","60","LMB_vCGW01","nodeName=cgw","55196","60484","63836","217743570"
"2026-05-22 20:00:00","60","LLG_vCGW01","nodeName=cgw","54567","58304","60625","209895340"
"2026-05-22 21:00:00","60","LMB_vCGW01","nodeName=cgw","41002","47995","55194","172784700"
"2026-05-22 21:00:00","60","LLG_vCGW01","nodeName=cgw","41415","48230","54563","173628410"
"2026-05-22 22:00:00","60","LLG_vCGW01","nodeName=cgw","31606","36139","41453","130100350"
"2026-05-22 22:00:00","60","LMB_vCGW01","nodeName=cgw","31391","35721","41126","128598210"
"2026-05-22 23:00:00","60","LMB_vCGW01","nodeName=cgw","27735","29323","31381","105565730"
"2026-05-22 23:00:00","60","LLG_vCGW01","nodeName=cgw","27162","29116","31767","104818690"
"2026-05-23 00:00:00","60","LMB_vCGW01","nodeName=cgw","26545","27222","27875","98001370"
"2026-05-23 00:00:00","60","LLG_vCGW01","nodeName=cgw","25249","26022","27301","93681560"
"2026-05-23 01:00:00","60","LMB_vCGW01","nodeName=cgw","25612","26224","26770","94407450"
"2026-05-23 01:00:00","60","LLG_vCGW01","nodeName=cgw","24170","24737","25384","89054130"
"2026-05-23 02:00:00","60","LMB_vCGW01","nodeName=cgw","24458","25094","25745","90339190"
"2026-05-23 02:00:00","60","LLG_vCGW01","nodeName=cgw","23508","23870","24412","85931390"
"2026-05-23 03:00:00","60","LMB_vCGW01","nodeName=cgw","24439","24653","26627","88751990"
"2026-05-23 03:00:00","60","LLG_vCGW01","nodeName=cgw","23349","23439","23720","84380350"
"2026-05-23 04:00:00","60","LMB_vCGW01","nodeName=cgw","25479","24610","25566","88596420"
"2026-05-23 04:00:00","60","LLG_vCGW01","nodeName=cgw","25209","24093","25216","86735860"
"2026-05-23 05:00:00","60","LMB_vCGW01","nodeName=cgw","33427","28448","33447","102413120"
