"Result:4G bearer SGW-C and PGW-C(1)(2026-06-02 153401)_20260602_153225.csv"
"Save Time:2026-06-02 15:32:25"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:SGW-C and PGW-C combined Basic session performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","CGW function","SGW-C and PGW-C combined current active bearers (number)","SGW-C and PGW-C combined current active sessions (number)","SGW-C and PGW-C combined Max number of Active EPS Bearers (number)"
"2026-05-22 00:00:00","60","LMB_vCGW01","nodeName=cgw","443229","443219","449874"
"2026-05-22 00:00:00","60","LLG_vCGW01","nodeName=cgw","466044","466012","473199"
"2026-05-22 01:00:00","60","LMB_vCGW01","nodeName=cgw","440383","440375","443324"
"2026-05-22 01:00:00","60","LLG_vCGW01","nodeName=cgw","463516","463485","465962"
"2026-05-22 02:00:00","60","LMB_vCGW01","nodeName=cgw","440419","440412","440436"
"2026-05-22 02:00:00","60","LLG_vCGW01","nodeName=cgw","462921","462889","463466"
"2026-05-22 03:00:00","60","LMB_vCGW01","nodeName=cgw","442638","442630","442638"
"2026-05-22 03:00:00","60","LLG_vCGW01","nodeName=cgw","465194","465156","465225"
"2026-05-22 04:00:00","60","LMB_vCGW01","nodeName=cgw","451653","451637","451653"
"2026-05-22 04:00:00","60","LLG_vCGW01","nodeName=cgw","473532","473493","473532"
"2026-05-22 05:00:00","60","LMB_vCGW01","nodeName=cgw","472528","472507","472528"
"2026-05-22 05:00:00","60","LLG_vCGW01","nodeName=cgw","494419","494360","494419"
"2026-05-22 06:00:00","60","LMB_vCGW01","nodeName=cgw","494009","493957","494011"
"2026-05-22 06:00:00","60","LLG_vCGW01","nodeName=cgw","514872","514753","514902"
"2026-05-22 07:00:00","60","LMB_vCGW01","nodeName=cgw","495885","495829","496716"
"2026-05-22 07:00:00","60","LLG_vCGW01","nodeName=cgw","519537","519346","519599"
"2026-05-22 08:00:00","60","LMB_vCGW01","nodeName=cgw","492925","492833","495816"
"2026-05-22 08:00:00","60","LLG_vCGW01","nodeName=cgw","520448","520236","520501"
"2026-05-22 09:00:00","60","LMB_vCGW01","nodeName=cgw","488942","488861","493119"
"2026-05-22 09:00:00","60","LLG_vCGW01","nodeName=cgw","520079","519872","520535"
"2026-05-22 10:00:00","60","LMB_vCGW01","nodeName=cgw","485360","485293","488864"
"2026-05-22 10:00:00","60","LLG_vCGW01","nodeName=cgw","517814","517615","519912"
"2026-05-22 11:00:00","60","LMB_vCGW01","nodeName=cgw","484584","484502","485421"
"2026-05-22 11:00:00","60","LLG_vCGW01","nodeName=cgw","516588","516385","517879"
"2026-05-22 12:00:00","60","LMB_vCGW01","nodeName=cgw","479728","479669","484507"
"2026-05-22 12:00:00","60","LLG_vCGW01","nodeName=cgw","515063","514849","516681"
"2026-05-22 13:00:00","60","LMB_vCGW01","nodeName=cgw","480128","480052","480134"
"2026-05-22 13:00:00","60","LLG_vCGW01","nodeName=cgw","514841","514628","515213"
"2026-05-22 14:00:00","60","LMB_vCGW01","nodeName=cgw","480828","480765","481030"
"2026-05-22 14:00:00","60","LLG_vCGW01","nodeName=cgw","515198","515021","515345"
"2026-05-22 15:00:00","60","LMB_vCGW01","nodeName=cgw","483590","483518","483671"
"2026-05-22 15:00:00","60","LLG_vCGW01","nodeName=cgw","516243","516032","516565"
"2026-05-22 16:00:00","60","LMB_vCGW01","nodeName=cgw","492409","492334","492409"
"2026-05-22 16:00:00","60","LLG_vCGW01","nodeName=cgw","521986","521760","522048"
"2026-05-22 17:00:00","60","LMB_vCGW01","nodeName=cgw","511217","511132","511236"
"2026-05-22 17:00:00","60","LLG_vCGW01","nodeName=cgw","534469","534222","534495"
