"Result:UPCF PDP(2026-06-02 153937)_20260602_153553.csv"
"Save Time:2026-06-02 15:35:53"
"User Name:fraser.msusa"


"NE Type Name:UPCF"

"NE Names:dc1_LLGUPCF01;dc2_LMBUPCF01"

"Function Subset Name:Interworking Between PCRF and PCEF"

"Total 855 records"

"Start Time","Period (min)","NE Name","PCRFPES","Maximum Number of Active Subscribers (number)"
"2026-04-28 00:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","480633"
"2026-04-28 01:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","468608"
"2026-04-28 02:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","464236"
"2026-04-28 03:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","464535"
"2026-04-28 04:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","474075"
"2026-04-28 05:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","505592"
"2026-04-28 06:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","529744"
"2026-04-28 07:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","535546"
"2026-04-28 08:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","538170"
"2026-04-28 09:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","538910"
"2026-04-28 10:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","539090"
"2026-04-28 11:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","538274"
"2026-04-28 12:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","537232"
"2026-04-28 13:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","539322"
"2026-04-28 14:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","537017"
"2026-04-28 15:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","536271"
"2026-04-28 16:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","540926"
"2026-04-28 17:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","554089"
"2026-04-28 18:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","575798"
"2026-04-28 19:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","583544"
"2026-04-28 20:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","583942"
"2026-04-28 21:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","572069"
"2026-04-28 22:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","538051"
"2026-04-28 23:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","505228"
"2026-04-29 00:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","483677"
"2026-04-29 01:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","470683"
"2026-04-29 02:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","466270"
"2026-04-29 03:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","466922"
"2026-04-29 04:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","476695"
"2026-04-29 05:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","507282"
"2026-04-29 06:00:00","60","dc1_LLGUPCF01","1(PCRFPES)","531467"
