"Result:UPCF PDP(2026-06-02 153937)_20260602_153613.csv"
"Save Time:2026-06-02 15:36:13"
"User Name:fraser.msusa"


"NE Type Name:UPCF"

"NE Names:dc1_LLGUPCF01;dc2_LMBUPCF01"

"Function Subset Name:Interworking Between PCRF and PCEF"

"Total 279 records"

"Start Time","Period (min)","NE Name","PCRFPES","Maximum Number of Active Subscribers (number)"
"2026-05-22 00:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","474806"
"2026-05-22 01:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","466173"
"2026-05-22 02:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","462612"
"2026-05-22 03:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","462957"
"2026-05-22 04:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","473551"
"2026-05-22 05:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","502248"
"2026-05-22 06:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","530508"
"2026-05-22 07:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","535114"
"2026-05-22 08:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","535081"
"2026-05-22 09:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","532978"
"2026-05-22 10:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","528246"
"2026-05-22 11:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","524887"
"2026-05-22 12:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","523969"
"2026-05-22 13:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","518944"
"2026-05-22 14:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","519413"
"2026-05-22 15:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","521450"
"2026-05-22 16:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","532675"
"2026-05-22 17:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","558421"
"2026-05-22 18:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","579102"
"2026-05-22 19:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","580234"
"2026-05-22 20:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","576280"
"2026-05-22 21:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","549199"
"2026-05-22 22:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","510765"
"2026-05-22 23:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","481770"
"2026-05-23 00:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","466599"
"2026-05-23 01:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","457616"
"2026-05-23 02:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","453992"
"2026-05-23 03:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","452677"
"2026-05-23 04:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","461224"
"2026-05-23 05:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","488002"
"2026-05-23 06:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","519494"
"2026-05-23 07:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527840"
"2026-05-23 08:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","528878"
"2026-05-23 09:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527306"
"2026-05-23 10:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","523535"
"2026-05-23 11:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","520431"
"2026-05-23 12:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","518757"
"2026-05-23 13:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","519117"
"2026-05-23 14:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","517219"
"2026-05-23 15:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","521501"
"2026-05-23 16:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527643"
"2026-05-23 17:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","555983"
"2026-05-23 18:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","581327"
"2026-05-23 19:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","586129"
"2026-05-23 20:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","585352"
"2026-05-23 21:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","559978"
"2026-05-23 22:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","519488"
"2026-05-23 23:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","487909"
"2026-05-24 00:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","470653"
"2026-05-24 01:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","460547"
"2026-05-24 02:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","456330"
"2026-05-24 03:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","455110"
"2026-05-24 04:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","463097"
"2026-05-24 05:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","490984"
"2026-05-24 06:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","520761"
"2026-05-24 07:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527761"
"2026-05-24 08:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","528420"
"2026-05-24 09:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527240"
"2026-05-24 10:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","523202"
"2026-05-24 11:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","522157"
"2026-05-24 12:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","523470"
"2026-05-24 13:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","526112"
"2026-05-24 14:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","529490"
"2026-05-24 15:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","532808"
"2026-05-24 16:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","540933"
"2026-05-24 17:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","563830"
"2026-05-24 18:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","588856"
"2026-05-24 19:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","593804"
"2026-05-24 20:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","592394"
"2026-05-24 21:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","566938"
"2026-05-24 22:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","524312"
"2026-05-24 23:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","492441"
"2026-05-25 00:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","475862"
"2026-05-25 01:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","466075"
"2026-05-25 02:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","462762"
"2026-05-25 03:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","463543"
"2026-05-25 04:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","474169"
"2026-05-25 05:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","505228"
"2026-05-25 06:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","531734"
"2026-05-25 07:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","536264"
"2026-05-25 08:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","536237"
"2026-05-25 09:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","535525"
"2026-05-25 10:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","533644"
"2026-05-25 11:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","528474"
"2026-05-25 12:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527667"
"2026-05-25 13:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","526584"
"2026-05-25 14:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","524095"
"2026-05-25 15:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","527838"
"2026-05-25 16:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","538576"
"2026-05-25 17:00:00","60","dc2_LMBUPCF01","1(PCRFPES)","564784"
