"Result:vUSN GB mode MM(2026-06-02 143442)_20260602_143257.csv"
"Save Time:2026-06-02 14:32:57"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:Gb mode radio resource"

"Total 278 records"

"Start Time","Period (min)","NE Name","UsnFunction","Gb mode maximum attached users (number)"
"2026-05-22 00:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","28121"
"2026-05-22 01:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","27216"
"2026-05-22 02:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","26940"
"2026-05-22 03:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","25333"
"2026-05-22 04:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","25575"
"2026-05-22 05:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","30939"
"2026-05-22 06:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34911"
"2026-05-22 07:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35167"
"2026-05-22 08:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34879"
"2026-05-22 09:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34600"
"2026-05-22 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34762"
"2026-05-22 11:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35343"
"2026-05-22 12:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34874"
"2026-05-22 13:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34949"
"2026-05-22 14:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35175"
"2026-05-22 15:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35241"
"2026-05-22 16:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","37110"
"2026-05-22 17:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","41707"
"2026-05-22 18:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","47406"
"2026-05-22 19:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","48452"
"2026-05-22 20:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","47372"
"2026-05-22 21:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","43038"
"2026-05-22 22:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34648"
"2026-05-22 23:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","29258"
"2026-05-23 00:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","27153"
"2026-05-23 01:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","26244"
"2026-05-23 02:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","25952"
"2026-05-23 03:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","24442"
"2026-05-23 04:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","24469"
"2026-05-23 05:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","29124"
"2026-05-23 06:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34042"
"2026-05-23 07:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34910"
"2026-05-23 08:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35532"
"2026-05-23 09:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","33211"
"2026-05-23 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","33254"
"2026-05-23 11:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","33639"
"2026-05-23 12:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","33751"
"2026-05-23 13:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35359"
"2026-05-23 14:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35371"
"2026-05-23 15:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35987"
"2026-05-23 16:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","37261"
"2026-05-23 17:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","41795"
"2026-05-23 18:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","46543"
"2026-05-23 19:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","47450"
"2026-05-23 20:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","47571"
"2026-05-23 21:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","44455"
"2026-05-23 22:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","37364"
"2026-05-23 23:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","30631"
"2026-05-24 00:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","27933"
"2026-05-24 01:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","26669"
"2026-05-24 02:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","26461"
"2026-05-24 03:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","24874"
"2026-05-24 04:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","24842"
"2026-05-24 05:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","29646"
"2026-05-24 06:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34260"
"2026-05-24 07:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34407"
"2026-05-24 08:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34265"
"2026-05-24 09:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","33380"
"2026-05-24 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","33899"
"2026-05-24 11:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35134"
"2026-05-24 12:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35998"
"2026-05-24 13:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","36567"
"2026-05-24 14:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","37145"
"2026-05-24 15:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","37538"
"2026-05-24 16:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","38206"
"2026-05-24 17:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","43119"
"2026-05-24 18:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","47218"
"2026-05-24 19:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","48441"
"2026-05-24 20:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","48564"
"2026-05-24 21:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","46833"
"2026-05-24 22:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","38078"
"2026-05-24 23:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","31727"
"2026-05-25 00:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","28955"
"2026-05-25 01:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","27557"
"2026-05-25 02:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","27522"
"2026-05-25 03:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","25725"
"2026-05-25 04:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","26076"
"2026-05-25 05:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","31519"
"2026-05-25 06:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34995"
"2026-05-25 07:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","35111"
"2026-05-25 08:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34260"
"2026-05-25 09:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34078"
"2026-05-25 10:00:00","60","LMB_vUSN01","nodeName=usn, USN Function Configuration Name=USN_VNFC","34748"
