"Result:VLR Subs(2026-06-02 164542)_20260602_164714.csv"
"Save Time:2026-06-02 16:47:14"
"User Name:fraser.msusa"


"NE Type Name:MSCServer"

"NE Names:HMSCLLG_NEW;HMSCLMB_NEW"

"Function Subset Name:Number of VLR Subscribers"

"Total 1,712 records"

"Start Time","Period (min)","NE Name","Local Zone","Number of Inter-MSC Location Update Subscribers Assigned Local NRIs in VLR (entries)","Peak Number of VLR Subscribers (entries)","Number of POOL Subscribers in VLR (entries)","Number of Local IN Subscribers in VLR (entries)","Number of Roaming IN Subscribers in VLR (entries)","Number of ALS Subscribers in VLR (entries)","Number of AoCC Subscribers in VLR (entries)","Number of AoCI Subscribers in VLR (entries)","Number of BAOC Subscribers in VLR (entries)","Number of BOIC Subscribers in VLR (entries)","Number of BOIC_EXHC Subscribers in VLR (entries)","Number of HOLD Subscribers in VLR (entries)","Number of CT Subscribers in VLR (entries)","Number of CW Subscribers in VLR (entries)","Number of IN Subscribers in VLR (entries)","Number of CFB Subscribers in VLR (entries)","Number of CFNRc Subscribers in VLR (entries)","Number of CFNRy Subscribers in VLR (entries)","Number of CFU Subscribers in VLR (entries)","Number of CLIP Subscribers in VLR (entries)","Number of CLIR Subscribers in VLR (entries)","Number of COLP Subscribers in VLR (entries)","Number of COLR Subscribers in VLR (entries)","Number of CUG Subscribers in VLR (entries)","Number of Data Service Subscribers in VLR (entries)","Number of D_CSI Subscribers in VLR (entries)","Number of GPRS Subscribers in VLR (entries)","Number of Hot Billing Subscribers in VLR (entries)","Number of IMSI Attached Subscribers in VLR (entries)","Number of IMSI Attached International Roaming Subscribers in VLR (entries)","Number of IMSI Attached National Roaming Subscribers in VLR (entries)","Number of IMSI Detached Subscribers in VLR (entries)","Number of International Roaming Subscribers in VLR (entries)","Number of National Roaming Subscribers in VLR (entries)","Number of LCS Subscribers in VLR (entries)","Number of Local Subscribers in VLR (entries)","Number of MO_SMS_CSI Subscribers in VLR (entries)","Number of MPTY Subscribers in VLR (entries)","Number of MT_SMS_CSI Subscribers in VLR (entries)","Number of M_CSI Subscribers in VLR (entries)","Number of ODB Subscribers in VLR (entries)","Number of ODB_BAOC Subscribers in VLR (entries)","Number of ODB_BOIC Subscribers in VLR (entries)","Number of ODB_BOICEXHC Subscribers in VLR (entries)","Number of OTHER_PLMN Subscribers in VLR (entries)","Number of OWN_PLMN Subscribers in VLR (entries)","Number of O_CSI Subscribers in VLR (entries)","Number of Number Range-triggered PPS Subscribers in VLR (entries)","Number of Roaming Subscribers in VLR (entries)","Number of IMSI Attached SIM Subscribers in VLR (entries)","Number of SS_CSI Subscribers in VLR (entries)","Total Number of Subscribers in VLR (entries)","Number of IMSI Attached USIM Subscribers in VLR (entries)","Number of VP Dual-Number Subscribers in VLR (entries)","Number of VT_CSI Subscribers in VLR (entries)","2G subscriber IMSI Attached  Rate (%)","3G subscriber IMSI Attached  Rate (%)","Number of 2G IMSI Attached Subscribers in VLR (entries)","Number of 2G Subscribers in VLR (entries)","Number of 3G IMSI Attached Subscribers in VLR (entries)","Number of 3G Subscribers in VLR (entries)","Number of A Subscribers in CCBS (entries)","Number of B Subscribers in CCBS (entries)","Number of CNAP Subscribers in VLR (entries)","Number of IMSI Attached International Roaming 2G Subscribers in VLR (entries)","Number of IMSI Attached International Roaming 3G Subscribers in VLR (entries)","Number of IMSI Attached National Roaming 2G Subscribers in VLR (entries)","Number of IMSI Attached National Roaming 3G Subscribers in VLR (entries)","Number of International Roaming 2G Subscribers in VLR (entries)","Number of International Roaming 3G Subscribers in VLR (entries)","Number of National Roaming 2G Subscribers in VLR (entries)","Number of National Roaming 3G Subscribers in VLR (entries)","Number of ODB ECT Barred Subscribers (ECT Initiator Charged for Both Calls) (entries)","Number of ODB ECT Barred Subscribers (ECT Initiator Charged for at Least One Call) (entries)","Number of ODB ECT Barred Subscribers (Initiator Charged for at Least One Call at Inter-Zonal Rate) (entries)","Number of ODB ECT Barred Subscribers (Initiator Charged for at Least One Call at International Rate) (entries)","Number of ODB Subscribers Not Allowed to Originate Multiple ECT Services (entries)","Number of SIM Subscribers in VLR (entries)","Number of SIP Subscribers in VLR (entries)","Number of Subscribers with All ODB ECT Services Barred (entries)","Number of Subscribers with All Outgoing Calls Barred When Roaming Outside the HPLMN Country (entries)","Number of Super-Charger Subscribers (entries)","Number of Super-Charger Subscribers Moved to Purge for Long Time No Action (entries)","Number of Super-Charger Subscribers Not Act in Local Office by CancelLocation Notice (entries)","Number of Super-Charger Subscribers Not Act in Local Office by SendIdentification notice (entries)","Number of USIM Subscribers in VLR (entries)","Number of Unknown Subscribers in VLR (entries)"
"2026-04-28 00:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2083084","2057307","2072842","6321","0","0","0","271","260","224003","2079298","477","760048","2079163","415762","425070","417183","38","2079652","14828","3908","10","0","2076780","0","0","0","1359548","4445","0","723556","9776","0","0","2073328","1033","2072131","0","0","1283","428","22","671","9776","2073328","2079163","0","9776","14719","0","2083104","908377","0","0","76.003","61.488","14322","18844","907698","1476229","1","14","0","54","3282","0","0","70","5062","0","0","0","0","0","0","0","21939","0","0","0","0","0","0","0","1478146","5012"
"2026-04-28 00:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2080219","2054760","2069852","6358","0","0","0","318","281","223554","2076373","499","759139","2076210","415735","425002","417141","54","2076763","15092","3860","10","1","2073877","0","0","0","1357943","4509","0","722186","9820","0","0","2070309","1038","2069119","0","0","1346","410","26","711","9820","2070309","2076210","0","9820","14614","0","2080129","905581","0","0","76.205","61.452","14200","18634","904868","1472490","0","12","0","42","3313","0","0","60","5161","0","0","0","0","0","0","0","21668","0","0","0","0","0","0","0","1474416","4960"
"2026-04-28 01:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2083656","2057482","2073307","6316","0","0","0","271","261","224132","2079777","466","760133","2079623","416067","425338","417468","39","2080113","14814","3935","14","1","2077254","0","0","0","1347533","4959","0","736030","9786","0","0","2073777","1021","2072599","0","0","1286","434","22","662","9786","2073777","2079623","0","9786","14769","0","2083563","899910","0","0","75.817","60.839","14321","18889","898731","1477227","1","14","0","56","3243","0","0","73","5051","0","0","0","0","0","0","0","21949","0","0","0","0","0","0","0","1479180","5013"
"2026-04-28 01:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2081110","2055489","2070656","6479","0","0","0","314","279","223593","2077274","511","759675","2077135","415995","425329","417420","54","2077682","15161","3892","6","0","2074692","0","0","0","1346405","4974","0","734628","9929","0","0","2071104","1051","2070024","0","0","1335","406","26","714","9929","2071104","2077135","0","9929","14631","0","2081033","897346","0","0","76.105","60.808","14157","18602","896222","1473858","0","13","0","43","3309","0","0","60","5208","0","0","0","0","0","0","0","21637","0","0","0","0","0","0","0","1475838","5015"
"2026-04-28 02:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2084146","2057930","2073747","6314","0","0","0","274","265","224282","2080218","471","760302","2080061","416287","425568","417712","42","2080565","14823","3907","12","0","2077703","0","0","0","1346662","5170","0","737382","9818","0","0","2074226","1029","2073056","0","0","1300","434","21","674","9818","2074226","2080061","0","9818","14920","0","2084044","899391","0","0","76.129","60.781","14383","18893","898087","1477575","1","14","0","54","3241","0","0","72","5078","0","0","0","0","0","0","0","22021","0","0","0","0","0","0","0","1479465","5018"
"2026-04-28 02:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2081437","2055619","2070996","6494","0","0","0","309","274","223544","2077630","494","759898","2077490","416164","425494","417558","50","2078042","15135","3945","8","1","2075032","0","0","0","1345969","5212","0","735396","9920","0","0","2071445","1027","2070378","0","0","1309","406","26","692","9920","2071445","2077490","0","9920","14685","0","2081365","897206","0","0","75.936","60.778","14131","18609","895909","1474062","0","13","0","43","3297","0","0","61","5233","0","0","0","0","0","0","0","21662","0","0","0","0","0","0","0","1475992","4983"
"2026-04-28 03:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2081896","2056230","2071459","6553","0","0","0","313","273","223477","2078151","501","760229","2078012","416446","425747","417816","52","2078569","15129","4020","7","1","2075462","0","0","0","1358721","4535","0","723215","10000","0","0","2071936","1025","2070906","0","0","1310","410","26","688","10000","2071936","2078012","0","10000","14823","0","2081936","907508","0","0","77.064","61.51","14350","18621","906831","1474293","0","12","0","44","3319","0","0","62","5233","0","0","0","0","0","0","0","21762","0","0","0","0","0","0","0","1476222","5070"
"2026-04-28 03:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2084731","2058319","2073945","6512","0","0","0","272","267","224444","2080620","479","760553","2080457","416449","425771","417909","42","2080980","14872","4049","13","0","2077972","0","0","0","1359648","4529","0","724823","10034","0","0","2074437","1048","2073439","0","0","1326","435","21","690","10034","2074437","2080457","0","10034","15000","0","2084471","909914","0","0","76.748","61.53","14507","18902","909314","1477847","1","15","0","54","3352","0","0","73","5175","0","0","0","0","0","0","0","22118","0","0","0","0","0","0","0","1479762","5131"
"2026-04-28 04:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2082304","2056300","2071575","6587","0","0","0","310","274","223443","2078297","496","760370","2078162","416813","426133","418174","53","2078723","15133","4063","6","0","2075605","0","0","0","1412866","4663","0","669214","10037","0","0","2072043","1024","2071021","0","0","1315","408","25","691","10037","2072043","2078162","0","10037","15347","0","2082080","952708","0","0","79.496","64.58","14795","18611","952031","1474199","0","13","0","42","3384","0","0","59","5246","0","0","0","0","0","0","0","21788","0","0","0","0","0","0","0","1476117","5095"
"2026-04-28 04:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2084758","2058595","2074264","6488","0","0","0","277","266","224625","2080908","483","760926","2080752","416646","425963","418107","41","2081270","14849","4023","14","1","2078236","0","0","0","1414055","4617","0","670696","9996","0","0","2074755","1047","2073769","0","0","1310","436","22","687","9996","2074755","2080752","0","9996","15555","0","2084751","955602","0","0","79.497","64.614","15052","18934","954949","1477933","1","14","0","55","3382","0","0","75","5180","0","0","0","0","0","0","0","22103","0","0","0","0","0","0","0","1479841","5077"
"2026-04-28 05:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2083411","2057821","2072930","6451","0","0","0","307","271","223966","2079521","504","761137","2079381","417495","426821","418873","54","2079938","15101","3973","6","1","2076919","0","0","0","1555645","4998","0","527761","9907","0","0","2073499","1029","2072260","0","0","1317","401","25","698","9907","2073499","2079381","0","9907","16565","0","2083406","1069127","0","0","84.893","72.451","15847","18667","1068410","1474667","0","14","0","45","3565","0","0","61","5180","0","0","0","0","0","0","0","21859","0","0","0","0","0","0","0","1476540","5065"
"2026-04-28 05:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2085896","2059959","2075410","6357","0","0","0","281","268","224444","2081915","458","761378","2081767","417377","426656","418809","41","2082287","14792","3954","14","0","2079311","0","0","0","1555694","4960","0","530130","9871","0","0","2075953","1028","2074761","0","0","1287","438","23","663","9871","2075953","2081767","0","9871","16721","0","2085824","1070639","0","0","84.454","72.394","16004","18950","1069954","1477967","1","13","0","58","3533","0","0","74","5075","0","0","0","0","0","0","0","22122","0","0","0","0","0","0","0","1479891","5096"
"2026-04-28 06:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2087844","2062154","2077433","6278","0","0","0","271","263","224665","2083864","457","762074","2083711","418253","427506","419654","41","2084232","14811","3869","13","0","2081332","0","0","0","1613556","5244","0","474303","9813","0","0","2078046","1000","2076707","0","0","1286","440","23","651","9813","2078046","2083711","0","9813","17522","0","2087859","1110065","0","0","87.201","75.006","16563","18994","1109357","1479029","0","12","0","56","3584","0","0","72","4969","0","0","0","0","0","0","0","22282","0","0","0","0","0","0","0","1480922","5181"
"2026-04-28 06:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2086979","2061694","2076573","6367","0","0","0","319","274","224483","2083074","518","762850","2082940","418888","428299","420317","52","2083517","15177","3886","7","1","2080626","0","0","0","1615035","5338","0","471945","9830","0","0","2077150","1071","2075789","0","0","1337","398","23","720","9830","2077150","2082940","0","9830","17310","0","2086980","1109302","0","0","87.475","75.061","16377","18722","1108574","1476891","1","15","0","46","3719","0","0","61","5141","0","0","0","0","0","0","0","21954","0","0","0","0","0","0","0","1478702","5043"
"2026-04-28 07:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2091316","2065709","2081213","5958","0","0","0","283","268","225119","2087310","484","762990","2087171","419472","428761","420910","43","2087693","14867","3542","13","0","2085174","0","0","0","1595751","5009","0","495532","9493","0","0","2081790","1035","2080095","0","0","1288","435","20","671","9493","2081790","2087171","0","9493","17455","0","2091283","1089158","0","0","87.212","73.44","16633","19072","1088438","1482082","1","13","0","55","3458","0","0","67","4799","0","0","0","0","0","0","0","22184","0","0","0","0","0","0","0","1483990","5020"
"2026-04-28 07:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2089363","2064106","2079386","5975","0","0","0","309","273","224695","2085514","495","763741","2085361","419766","429218","421188","50","2085938","15198","3492","7","1","2083448","0","0","0","1594303","4995","0","495088","9443","0","0","2079948","1038","2078241","0","0","1317","396","24","704","9443","2079948","2085361","0","9443","17107","0","2089391","1086775","0","0","87.115","73.403","16328","18743","1086043","1479563","0","14","0","49","3495","0","0","59","4867","0","0","0","0","0","0","0","21846","0","0","0","0","0","0","0","1481402","4942"
"2026-04-28 08:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2093684","2068168","2083779","5857","0","0","0","272","262","225442","2089768","480","763996","2089636","420337","429647","421755","44","2090152","14857","3440","13","1","2087731","0","0","0","1584296","4993","0","509435","9374","0","0","2084357","1032","2082551","0","0","1298","444","20","673","9374","2084357","2089636","0","9374","17372","0","2093731","1078055","0","0","86.715","72.548","16560","19097","1077307","1484967","1","14","0","63","3416","0","0","72","4702","0","0","0","0","0","0","0","22203","0","0","0","0","0","0","0","1486883","5022"
"2026-04-28 08:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2092650","2067331","2082579","5978","0","0","0","317","279","224985","2088722","515","764784","2088557","420611","430088","422092","50","2089131","15295","3478","7","0","2086752","0","0","0","1584113","4999","0","508503","9480","0","0","2083136","1067","2081398","0","0","1339","400","27","727","9480","2083136","2088557","0","9480","17086","0","2092616","1076840","0","0","86.803","72.564","16306","18785","1076120","1483004","0","15","0","50","3504","0","0","60","4880","0","0","0","0","0","0","0","21902","0","0","0","0","0","0","0","1484873","4986"
"2026-04-28 09:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2095539","2070493","2085486","5952","0","0","0","319","280","225306","2091611","546","765615","2091438","421360","430884","422871","52","2092020","15278","3397","6","0","2089653","0","0","0","1581071","4973","0","514442","9472","0","0","2086041","1111","2084298","0","0","1358","391","27","746","9472","2086041","2091438","0","9472","17136","0","2095513","1075235","0","0","86.778","72.331","16316","18802","1074560","1485607","0","15","0","53","3483","0","0","61","4849","0","0","0","0","0","0","0","21959","0","0","0","0","0","0","0","1487463","5013"
"2026-04-28 09:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2096476","2071299","2086540","5869","0","0","0","275","259","225606","2092515","460","765064","2092409","421078","430396","422476","43","2092911","14932","3441","14","1","2090489","0","0","0","1582452","4955","0","514039","9384","0","0","2087107","1006","2085277","0","0","1276","450","19","665","9384","2087107","2092409","0","9384","17407","0","2096491","1076854","0","0","86.644","72.357","16581","19137","1076131","1487256","1","13","0","58","3397","0","0","69","4693","0","0","0","0","0","0","0","22253","0","0","0","0","0","0","0","1489194","5054"
"2026-04-28 10:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2082594","2004906","2020302","5911","0","0","0","277","255","219936","2026347","488","739125","2026213","398797","407961","400161","44","2026744","14737","3462","14","1","2024293","0","0","0","1516879","4948","0","513445","9472","0","0","2020852","1034","2019243","0","0","1306","451","21","685","9472","2020852","2026213","0","9472","16530","0","2030324","1014615","0","0","85.953","71.3","15695","18260","1013934","1422074","1","13","0","57","3407","0","0","68","4707","0","0","0","0","0","0","0","21419","0","0","0","0","0","0","0","1424020","5105"
"2026-04-28 10:00:00","60","HMSCLMB_NEW","LABEL=0, STATICAREAX=0","0","2082397","2004611","2019705","5939","0","0","0","303","282","219879","2025795","504","739839","2025644","399255","408549","400643","49","2026193","15014","3440","6","0","2023834","0","0","0","1516792","4901","0","512946","9444","0","0","2020294","1048","2018606","0","0","1301","391","29","694","9444","2020294","2025644","0","9444","16469","0","2029738","1013882","0","0","86.398","71.319","15606","18063","1013245","1420720","0","15","0","56","3414","0","0","66","4783","0","0","0","0","0","0","0","21298","0","0","0","0","0","0","0","1422554","5069"
"2026-04-28 11:00:00","60","HMSCLLG_NEW","LABEL=0, STATICAREAX=0","0","2048924","2023623","2038913","5940","0","0","0","272","257","221601","2044997","482","746455","2044853","404756","413982","406130","39","2045380","14810","3465","15","1","2042974","0","0","0","1546697","5017","0","502268","9484","0","0","2039481","1029","2037899","0","0","1313","442","23","692","9484","2039481","2044853","0","9484","16887","0","2048965","1046031","0","0","86.562","72.551","16008","18493","1045329","1440814","1","13","0","56","3424","0","0","67","4699","0","0","0","0","0","0","0","21684","0","0","0","0","0","0","0","1442763","5140"
