"Result:GI throughput CUPS(2026-06-02 151222)_20260602_151129.csv"
"Save Time:2026-06-02 15:11:30"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:PGW-U 2/3G Forwarding performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","DGW function","PGW-U 2/3G Gi downlink peak throughput in KB/s (kB/s)","PGW-U 2/3G Gi downlink peak throughput in MB/s (MB/s)"
"2026-05-22 00:00:00","60","LMB_vDGW01","nodeName=dgw","110868","110"
"2026-05-22 00:00:00","60","LLG_vDGW01","nodeName=dgw","112561","112"
"2026-05-22 01:00:00","60","LMB_vDGW01","nodeName=dgw","73979","74"
"2026-05-22 01:00:00","60","LLG_vDGW01","nodeName=dgw","106144","106"
"2026-05-22 02:00:00","60","LMB_vDGW01","nodeName=dgw","68818","68"
"2026-05-22 02:00:00","60","LLG_vDGW01","nodeName=dgw","64995","65"
"2026-05-22 03:00:00","60","LMB_vDGW01","nodeName=dgw","66785","66"
"2026-05-22 03:00:00","60","LLG_vDGW01","nodeName=dgw","67991","68"
"2026-05-22 04:00:00","60","LMB_vDGW01","nodeName=dgw","143940","143"
"2026-05-22 04:00:00","60","LLG_vDGW01","nodeName=dgw","119762","119"
"2026-05-22 05:00:00","60","LMB_vDGW01","nodeName=dgw","262683","262"
"2026-05-22 05:00:00","60","LLG_vDGW01","nodeName=dgw","231450","231"
"2026-05-22 06:00:00","60","LMB_vDGW01","nodeName=dgw","304629","304"
"2026-05-22 06:00:00","60","LLG_vDGW01","nodeName=dgw","282323","282"
"2026-05-22 07:00:00","60","LMB_vDGW01","nodeName=dgw","315357","315"
"2026-05-22 07:00:00","60","LLG_vDGW01","nodeName=dgw","282072","282"
"2026-05-22 08:00:00","60","LMB_vDGW01","nodeName=dgw","326209","326"
"2026-05-22 08:00:00","60","LLG_vDGW01","nodeName=dgw","289534","289"
"2026-05-22 09:00:00","60","LMB_vDGW01","nodeName=dgw","305643","305"
"2026-05-22 09:00:00","60","LLG_vDGW01","nodeName=dgw","305591","305"
"2026-05-22 10:00:00","60","LMB_vDGW01","nodeName=dgw","345988","346"
"2026-05-22 10:00:00","60","LLG_vDGW01","nodeName=dgw","325579","325"
"2026-05-22 11:00:00","60","LMB_vDGW01","nodeName=dgw","332727","332"
"2026-05-22 11:00:00","60","LLG_vDGW01","nodeName=dgw","334893","335"
"2026-05-22 12:00:00","60","LMB_vDGW01","nodeName=dgw","324123","324"
"2026-05-22 12:00:00","60","LLG_vDGW01","nodeName=dgw","328918","329"
"2026-05-22 13:00:00","60","LMB_vDGW01","nodeName=dgw","336533","336"
"2026-05-22 13:00:00","60","LLG_vDGW01","nodeName=dgw","345150","345"
"2026-05-22 14:00:00","60","LMB_vDGW01","nodeName=dgw","345054","345"
"2026-05-22 14:00:00","60","LLG_vDGW01","nodeName=dgw","351708","352"
"2026-05-22 15:00:00","60","LMB_vDGW01","nodeName=dgw","338171","338"
"2026-05-22 15:00:00","60","LLG_vDGW01","nodeName=dgw","338316","338"
"2026-05-22 16:00:00","60","LMB_vDGW01","nodeName=dgw","329244","329"
"2026-05-22 16:00:00","60","LLG_vDGW01","nodeName=dgw","331525","331"
"2026-05-22 17:00:00","60","LMB_vDGW01","nodeName=dgw","328289","328"
"2026-05-22 17:00:00","60","LLG_vDGW01","nodeName=dgw","318547","318"
"2026-05-22 18:00:00","60","LMB_vDGW01","nodeName=dgw","396188","396"
"2026-05-22 18:00:00","60","LLG_vDGW01","nodeName=dgw","411171","411"
"2026-05-22 19:00:00","60","LMB_vDGW01","nodeName=dgw","448508","448"
"2026-05-22 19:00:00","60","LLG_vDGW01","nodeName=dgw","451442","451"
"2026-05-22 20:00:00","60","LMB_vDGW01","nodeName=dgw","472403","472"
"2026-05-22 20:00:00","60","LLG_vDGW01","nodeName=dgw","483476","483"
"2026-05-22 21:00:00","60","LMB_vDGW01","nodeName=dgw","472174","472"
"2026-05-22 21:00:00","60","LLG_vDGW01","nodeName=dgw","489494","489"
"2026-05-22 22:00:00","60","LLG_vDGW01","nodeName=dgw","407942","408"
"2026-05-22 22:00:00","60","LMB_vDGW01","nodeName=dgw","354788","355"
"2026-05-22 23:00:00","60","LMB_vDGW01","nodeName=dgw","217984","218"
"2026-05-22 23:00:00","60","LLG_vDGW01","nodeName=dgw","256040","256"
"2026-05-23 00:00:00","60","LMB_vDGW01","nodeName=dgw","117479","117"
"2026-05-23 00:00:00","60","LLG_vDGW01","nodeName=dgw","142706","142"
"2026-05-23 01:00:00","60","LMB_vDGW01","nodeName=dgw","100626","100"
"2026-05-23 01:00:00","60","LLG_vDGW01","nodeName=dgw","85990","85"
"2026-05-23 02:00:00","60","LMB_vDGW01","nodeName=dgw","81096","81"
"2026-05-23 02:00:00","60","LLG_vDGW01","nodeName=dgw","65688","65"
"2026-05-23 03:00:00","60","LMB_vDGW01","nodeName=dgw","67475","67"
"2026-05-23 03:00:00","60","LLG_vDGW01","nodeName=dgw","66088","65"
"2026-05-23 04:00:00","60","LMB_vDGW01","nodeName=dgw","117566","117"
"2026-05-23 04:00:00","60","LLG_vDGW01","nodeName=dgw","119282","119"
"2026-05-23 05:00:00","60","LMB_vDGW01","nodeName=dgw","242832","243"
"2026-05-23 05:00:00","60","LLG_vDGW01","nodeName=dgw","229491","229"
"2026-05-23 06:00:00","60","LMB_vDGW01","nodeName=dgw","320076","320"
"2026-05-23 06:00:00","60","LLG_vDGW01","nodeName=dgw","300845","300"
"2026-05-23 07:00:00","60","LMB_vDGW01","nodeName=dgw","326689","326"
"2026-05-23 07:00:00","60","LLG_vDGW01","nodeName=dgw","302577","302"
"2026-05-23 08:00:00","60","LMB_vDGW01","nodeName=dgw","319453","319"
"2026-05-23 08:00:00","60","LLG_vDGW01","nodeName=dgw","303215","303"
"2026-05-23 09:00:00","60","LMB_vDGW01","nodeName=dgw","310855","310"
"2026-05-23 09:00:00","60","LLG_vDGW01","nodeName=dgw","295250","295"
"2026-05-23 10:00:00","60","LMB_vDGW01","nodeName=dgw","316065","316"
"2026-05-23 10:00:00","60","LLG_vDGW01","nodeName=dgw","317363","317"
"2026-05-23 11:00:00","60","LMB_vDGW01","nodeName=dgw","327078","327"
"2026-05-23 11:00:00","60","LLG_vDGW01","nodeName=dgw","321341","321"
"2026-05-23 12:00:00","60","LMB_vDGW01","nodeName=dgw","331608","331"
"2026-05-23 12:00:00","60","LLG_vDGW01","nodeName=dgw","318509","318"
"2026-05-23 13:00:00","60","LMB_vDGW01","nodeName=dgw","350565","350"
"2026-05-23 13:00:00","60","LLG_vDGW01","nodeName=dgw","348473","348"
"2026-05-23 14:00:00","60","LMB_vDGW01","nodeName=dgw","390724","390"
"2026-05-23 14:00:00","60","LLG_vDGW01","nodeName=dgw","379407","379"
"2026-05-23 15:00:00","60","LMB_vDGW01","nodeName=dgw","397120","397"
"2026-05-23 15:00:00","60","LLG_vDGW01","nodeName=dgw","371644","371"
"2026-05-23 16:00:00","60","LMB_vDGW01","nodeName=dgw","400079","400"
"2026-05-23 16:00:00","60","LLG_vDGW01","nodeName=dgw","359474","359"
"2026-05-23 17:00:00","60","LMB_vDGW01","nodeName=dgw","352533","352"
"2026-05-23 17:00:00","60","LLG_vDGW01","nodeName=dgw","333743","333"
"2026-05-23 18:00:00","60","LMB_vDGW01","nodeName=dgw","412664","412"
"2026-05-23 18:00:00","60","LLG_vDGW01","nodeName=dgw","394019","394"
"2026-05-23 19:00:00","60","LMB_vDGW01","nodeName=dgw","467479","467"
"2026-05-23 19:00:00","60","LLG_vDGW01","nodeName=dgw","460215","460"
"2026-05-23 20:00:00","60","LMB_vDGW01","nodeName=dgw","476586","476"
"2026-05-23 20:00:00","60","LLG_vDGW01","nodeName=dgw","474784","474"
"2026-05-23 21:00:00","60","LLG_vDGW01","nodeName=dgw","476056","476"
"2026-05-23 21:00:00","60","LMB_vDGW01","nodeName=dgw","479631","479"
"2026-05-23 22:00:00","60","LMB_vDGW01","nodeName=dgw","411803","411"
"2026-05-23 22:00:00","60","LLG_vDGW01","nodeName=dgw","396663","396"
"2026-05-23 23:00:00","60","LMB_vDGW01","nodeName=dgw","239796","239"
"2026-05-23 23:00:00","60","LLG_vDGW01","nodeName=dgw","255527","255"
"2026-05-24 00:00:00","60","LMB_vDGW01","nodeName=dgw","129956","129"
"2026-05-24 00:00:00","60","LLG_vDGW01","nodeName=dgw","145455","145"
"2026-05-24 01:00:00","60","LMB_vDGW01","nodeName=dgw","88116","88"
"2026-05-24 01:00:00","60","LLG_vDGW01","nodeName=dgw","83452","83"
"2026-05-24 02:00:00","60","LMB_vDGW01","nodeName=dgw","67897","67"
"2026-05-24 02:00:00","60","LLG_vDGW01","nodeName=dgw","68609","68"
"2026-05-24 03:00:00","60","LMB_vDGW01","nodeName=dgw","62471","62"
"2026-05-24 03:00:00","60","LLG_vDGW01","nodeName=dgw","63234","63"
"2026-05-24 04:00:00","60","LMB_vDGW01","nodeName=dgw","116108","116"
"2026-05-24 04:00:00","60","LLG_vDGW01","nodeName=dgw","109275","109"
"2026-05-24 05:00:00","60","LMB_vDGW01","nodeName=dgw","242411","242"
"2026-05-24 05:00:00","60","LLG_vDGW01","nodeName=dgw","220359","220"
"2026-05-24 06:00:00","60","LMB_vDGW01","nodeName=dgw","302934","302"
"2026-05-24 06:00:00","60","LLG_vDGW01","nodeName=dgw","292540","292"
"2026-05-24 07:00:00","60","LMB_vDGW01","nodeName=dgw","309772","309"
"2026-05-24 07:00:00","60","LLG_vDGW01","nodeName=dgw","310079","310"
"2026-05-24 08:00:00","60","LMB_vDGW01","nodeName=dgw","301222","301"
"2026-05-24 08:00:00","60","LLG_vDGW01","nodeName=dgw","292241","292"
"2026-05-24 09:00:00","60","LMB_vDGW01","nodeName=dgw","307797","307"
"2026-05-24 09:00:00","60","LLG_vDGW01","nodeName=dgw","296183","296"
"2026-05-24 10:00:00","60","LMB_vDGW01","nodeName=dgw","319811","319"
"2026-05-24 10:00:00","60","LLG_vDGW01","nodeName=dgw","317858","317"
"2026-05-24 11:00:00","60","LMB_vDGW01","nodeName=dgw","324632","324"
"2026-05-24 11:00:00","60","LLG_vDGW01","nodeName=dgw","329712","329"
"2026-05-24 12:00:00","60","LMB_vDGW01","nodeName=dgw","347566","347"
"2026-05-24 12:00:00","60","LLG_vDGW01","nodeName=dgw","324745","324"
"2026-05-24 13:00:00","60","LMB_vDGW01","nodeName=dgw","344870","344"
"2026-05-24 13:00:00","60","LLG_vDGW01","nodeName=dgw","342638","342"
