"Result:SGI throughput CUPS(2026-06-02 151623)_20260602_151223.csv"
"Save Time:2026-06-02 15:12:23"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:PGW-U Forwarding performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","DGW function","User Plane SGi downlink user traffic peak throughput in KB/s (kB/s)","User Plane SGi downlink user traffic peak throughput in MB/s (MB/s) (MB/s)"
"2026-05-22 00:00:00","60","LMB_vDGW01","nodeName=dgw","1379344","1379.344"
"2026-05-22 00:00:00","60","LLG_vDGW01","nodeName=dgw","1574107","1574.107"
"2026-05-22 01:00:00","60","LMB_vDGW01","nodeName=dgw","925954","925.954"
"2026-05-22 01:00:00","60","LLG_vDGW01","nodeName=dgw","1013163","1013.163"
"2026-05-22 02:00:00","60","LMB_vDGW01","nodeName=dgw","744761","744.761"
"2026-05-22 02:00:00","60","LLG_vDGW01","nodeName=dgw","793525","793.525"
"2026-05-22 03:00:00","60","LMB_vDGW01","nodeName=dgw","724405","724.405"
"2026-05-22 03:00:00","60","LLG_vDGW01","nodeName=dgw","720740","720.74"
"2026-05-22 04:00:00","60","LMB_vDGW01","nodeName=dgw","1136742","1136.742"
"2026-05-22 04:00:00","60","LLG_vDGW01","nodeName=dgw","1155689","1155.689"
"2026-05-22 05:00:00","60","LMB_vDGW01","nodeName=dgw","2200171","2200.171"
"2026-05-22 05:00:00","60","LLG_vDGW01","nodeName=dgw","2244499","2244.499"
"2026-05-22 06:00:00","60","LMB_vDGW01","nodeName=dgw","2696407","2696.407"
"2026-05-22 06:00:00","60","LLG_vDGW01","nodeName=dgw","2838987","2838.987"
"2026-05-22 07:00:00","60","LMB_vDGW01","nodeName=dgw","2970254","2970.254"
"2026-05-22 07:00:00","60","LLG_vDGW01","nodeName=dgw","3023477","3023.477"
"2026-05-22 08:00:00","60","LMB_vDGW01","nodeName=dgw","3171340","3171.34"
"2026-05-22 08:00:00","60","LLG_vDGW01","nodeName=dgw","3375255","3375.255"
"2026-05-22 09:00:00","60","LMB_vDGW01","nodeName=dgw","3242441","3242.441"
"2026-05-22 09:00:00","60","LLG_vDGW01","nodeName=dgw","3440705","3440.705"
"2026-05-22 10:00:00","60","LMB_vDGW01","nodeName=dgw","3485411","3485.411"
"2026-05-22 10:00:00","60","LLG_vDGW01","nodeName=dgw","3620173","3620.173"
"2026-05-22 11:00:00","60","LMB_vDGW01","nodeName=dgw","3421863","3421.863"
"2026-05-22 11:00:00","60","LLG_vDGW01","nodeName=dgw","3545214","3545.214"
"2026-05-22 12:00:00","60","LMB_vDGW01","nodeName=dgw","3194094","3194.094"
"2026-05-22 12:00:00","60","LLG_vDGW01","nodeName=dgw","3623766","3623.766"
"2026-05-22 13:00:00","60","LMB_vDGW01","nodeName=dgw","3426786","3426.786"
"2026-05-22 13:00:00","60","LLG_vDGW01","nodeName=dgw","3535994","3535.994"
"2026-05-22 14:00:00","60","LMB_vDGW01","nodeName=dgw","3472418","3472.418"
"2026-05-22 14:00:00","60","LLG_vDGW01","nodeName=dgw","3684169","3684.169"
"2026-05-22 15:00:00","60","LMB_vDGW01","nodeName=dgw","3450762","3450.762"
"2026-05-22 15:00:00","60","LLG_vDGW01","nodeName=dgw","3600274","3600.274"
"2026-05-22 16:00:00","60","LMB_vDGW01","nodeName=dgw","3375061","3375.061"
"2026-05-22 16:00:00","60","LLG_vDGW01","nodeName=dgw","3567173","3567.173"
"2026-05-22 17:00:00","60","LMB_vDGW01","nodeName=dgw","3373366","3373.366"
"2026-05-22 17:00:00","60","LLG_vDGW01","nodeName=dgw","3502531","3502.531"
"2026-05-22 18:00:00","60","LMB_vDGW01","nodeName=dgw","3956987","3956.987"
"2026-05-22 18:00:00","60","LLG_vDGW01","nodeName=dgw","4149154","4149.154"
"2026-05-22 19:00:00","60","LMB_vDGW01","nodeName=dgw","4328308","4328.308"
"2026-05-22 19:00:00","60","LLG_vDGW01","nodeName=dgw","4442099","4442.099"
"2026-05-22 20:00:00","60","LMB_vDGW01","nodeName=dgw","4262566","4262.566"
"2026-05-22 20:00:00","60","LLG_vDGW01","nodeName=dgw","4725553","4725.553"
"2026-05-22 21:00:00","60","LMB_vDGW01","nodeName=dgw","4432092","4432.092"
"2026-05-22 21:00:00","60","LLG_vDGW01","nodeName=dgw","4627669","4627.669"
"2026-05-22 22:00:00","60","LLG_vDGW01","nodeName=dgw","3907661","3907.661"
"2026-05-22 22:00:00","60","LMB_vDGW01","nodeName=dgw","3477609","3477.609"
"2026-05-22 23:00:00","60","LMB_vDGW01","nodeName=dgw","2335492","2335.492"
"2026-05-22 23:00:00","60","LLG_vDGW01","nodeName=dgw","2741824","2741.824"
"2026-05-23 00:00:00","60","LMB_vDGW01","nodeName=dgw","1514485","1514.485"
"2026-05-23 00:00:00","60","LLG_vDGW01","nodeName=dgw","1734542","1734.542"
"2026-05-23 01:00:00","60","LMB_vDGW01","nodeName=dgw","993491","993.491"
"2026-05-23 01:00:00","60","LLG_vDGW01","nodeName=dgw","1065031","1065.031"
"2026-05-23 02:00:00","60","LMB_vDGW01","nodeName=dgw","797284","797.284"
"2026-05-23 02:00:00","60","LLG_vDGW01","nodeName=dgw","836570","836.57"
"2026-05-23 03:00:00","60","LMB_vDGW01","nodeName=dgw","736142","736.142"
"2026-05-23 03:00:00","60","LLG_vDGW01","nodeName=dgw","779539","779.539"
"2026-05-23 04:00:00","60","LMB_vDGW01","nodeName=dgw","1080991","1080.991"
"2026-05-23 04:00:00","60","LLG_vDGW01","nodeName=dgw","1098338","1098.338"
"2026-05-23 05:00:00","60","LMB_vDGW01","nodeName=dgw","2060708","2060.708"
"2026-05-23 05:00:00","60","LLG_vDGW01","nodeName=dgw","2149696","2149.696"
"2026-05-23 06:00:00","60","LMB_vDGW01","nodeName=dgw","2924677","2924.677"
"2026-05-23 06:00:00","60","LLG_vDGW01","nodeName=dgw","3060063","3060.063"
"2026-05-23 07:00:00","60","LMB_vDGW01","nodeName=dgw","3194778","3194.778"
"2026-05-23 07:00:00","60","LLG_vDGW01","nodeName=dgw","3282883","3282.883"
"2026-05-23 08:00:00","60","LMB_vDGW01","nodeName=dgw","3258501","3258.501"
"2026-05-23 08:00:00","60","LLG_vDGW01","nodeName=dgw","3279448","3279.448"
"2026-05-23 09:00:00","60","LMB_vDGW01","nodeName=dgw","3227154","3227.154"
"2026-05-23 09:00:00","60","LLG_vDGW01","nodeName=dgw","3339857","3339.857"
"2026-05-23 10:00:00","60","LMB_vDGW01","nodeName=dgw","3328127","3328.127"
"2026-05-23 10:00:00","60","LLG_vDGW01","nodeName=dgw","3444006","3444.006"
"2026-05-23 11:00:00","60","LMB_vDGW01","nodeName=dgw","3381760","3381.76"
"2026-05-23 11:00:00","60","LLG_vDGW01","nodeName=dgw","3703930","3703.93"
"2026-05-23 12:00:00","60","LMB_vDGW01","nodeName=dgw","3545826","3545.826"
"2026-05-23 12:00:00","60","LLG_vDGW01","nodeName=dgw","3634524","3634.524"
"2026-05-23 13:00:00","60","LMB_vDGW01","nodeName=dgw","3486820","3486.82"
"2026-05-23 13:00:00","60","LLG_vDGW01","nodeName=dgw","3701188","3701.188"
"2026-05-23 14:00:00","60","LMB_vDGW01","nodeName=dgw","3860944","3860.944"
"2026-05-23 14:00:00","60","LLG_vDGW01","nodeName=dgw","4007613","4007.613"
"2026-05-23 15:00:00","60","LMB_vDGW01","nodeName=dgw","3969346","3969.346"
"2026-05-23 15:00:00","60","LLG_vDGW01","nodeName=dgw","4067924","4067.924"
"2026-05-23 16:00:00","60","LMB_vDGW01","nodeName=dgw","4176719","4176.719"
"2026-05-23 16:00:00","60","LLG_vDGW01","nodeName=dgw","3963165","3963.165"
"2026-05-23 17:00:00","60","LMB_vDGW01","nodeName=dgw","3592300","3592.3"
"2026-05-23 17:00:00","60","LLG_vDGW01","nodeName=dgw","3709326","3709.326"
"2026-05-23 18:00:00","60","LMB_vDGW01","nodeName=dgw","4116736","4116.736"
"2026-05-23 18:00:00","60","LLG_vDGW01","nodeName=dgw","4549875","4549.875"
"2026-05-23 19:00:00","60","LMB_vDGW01","nodeName=dgw","4596120","4596.12"
"2026-05-23 19:00:00","60","LLG_vDGW01","nodeName=dgw","5007982","5007.982"
"2026-05-23 20:00:00","60","LMB_vDGW01","nodeName=dgw","4439270","4439.27"
"2026-05-23 20:00:00","60","LLG_vDGW01","nodeName=dgw","4630156","4630.156"
"2026-05-23 21:00:00","60","LLG_vDGW01","nodeName=dgw","4633145","4633.145"
"2026-05-23 21:00:00","60","LMB_vDGW01","nodeName=dgw","4286172","4286.172"
"2026-05-23 22:00:00","60","LMB_vDGW01","nodeName=dgw","3584785","3584.785"
"2026-05-23 22:00:00","60","LLG_vDGW01","nodeName=dgw","4012357","4012.357"
"2026-05-23 23:00:00","60","LMB_vDGW01","nodeName=dgw","2567812","2567.812"
"2026-05-23 23:00:00","60","LLG_vDGW01","nodeName=dgw","2889835","2889.835"
"2026-05-24 00:00:00","60","LMB_vDGW01","nodeName=dgw","1568296","1568.296"
